Date,Site,Q,Area.m2,NPOC..mg.C.L.,TDN..mg.N.L.,Project,Q_Flag,Cl_Flag,DOY,CampaignID,logArea
2024-07-17,USF29,2.489929087,71086.77,3.57,0.36,nm,Original,Original,199,nm_C1,11.171656522527687
2024-07-17,USF31,1.989298615,252856.1,3.07,0.16,nm,Gap filled,Original,199,nm_C1,12.440575831192408
2024-08-14,USF03,150.3080497,28885655,3.525,0.27,nm,Original,Original,227,nm_C2,17.178855663069882
2024-08-14,USF04,44.80467114,1855105,6.49,0.2,nm,Original,Original,227,nm_C2,14.433451856195324
2024-08-14,USF05,145.097916,25453951,3.43,0.27,nm,Original,Original,227,nm_C2,17.052381534491026
2024-08-14,USF07,3.966765258,2296412,5.56,0.66,nm,Original,Original,227,nm_C2,14.646858462832423
2024-08-14,USF12,141.8674,35878093,3.815,0.28,nm,Original,Original,227,nm_C2,17.395637444355547
2024-08-15,USF13,11.64275259,756190.5,3.41,0.15,nm,Original,Original,228,nm_C2,13.536048607545986
2024-08-15,USF14,25.29674206,2026488,2.7,0.17,nm,Original,Original,228,nm_C2,14.521814803493367
2024-08-15,USF15,5.19,848920.2,2.24,0.21,nm,Original,Original,228,nm_C2,13.65172046794301
2024-08-15,USF16,9.657744438,387371.4,2.91,0.17,nm,Original,Original,228,nm_C2,12.86713920172644
2024-08-15,USF17,0.703963331,219441.8,1.9,0.11,nm,Original,Original,228,nm_C2,12.298842328275619
2024-08-15,USF18,2.122972757,114357,2.98,0.2,nm,Gap filled,Original,228,nm_C2,11.647080413143575
2024-08-15,USF19,2.92986879,118050.3,14.96,0.375,nm,Original,Original,228,nm_C2,11.678866083806492
2024-08-14,USF20,137.2516272,19141915,3.255,0.28,nm,Original,Original,227,nm_C2,16.767390991230794
2024-08-15,USF21,37.65500509,2818745,3.29,0.166666667,nm,Original,Original,228,nm_C2,14.851802308395632
2024-08-14,USF22,0.825662944,685111.6,6.43,0.15,nm,Original,Original,227,nm_C2,13.437337023682417
2024-08-14,USF23,3.709896374,1428947,5.31,0.76,nm,Original,Original,227,nm_C2,14.172448367350857
2024-08-14,USF24,3.530639063,1484873,5.16,0.25,nm,Original,Original,227,nm_C2,14.21083980467621
2024-08-14,USF25,2.238723319,1144825,4.6,0.14,nm,Original,Original,227,nm_C2,13.950762344861547
2024-08-14,USF26,1.138190993,429695.9,3.96,0.12,nm,Original,Original,227,nm_C2,12.970833028176957
2024-08-15,USF28,0.364992366,56663.36,4.055,0.23,nm,Original,Original,228,nm_C2,10.944883072720513
2024-08-15,USF29,1.171645933,71086.77,2.025,0.235,nm,Original,Original,228,nm_C2,11.171656522527687
2024-08-15,USF31,1.989298615,252856.1,3.845,0.18,nm,Original,Original,228,nm_C2,12.440575831192408
2024-09-11,USF03,159.4880305,28885655,2.695,0.32,nm,Original,Original,255,nm_C3,17.178855663069882
2024-09-11,USF04,1.490681024,1855105,8.9,0.25,nm,Original,Original,255,nm_C3,14.433451856195324
2024-09-11,USF05,169.2553265,25453951,2.605,0.345,nm,Original,Original,255,nm_C3,17.052381534491026
2024-09-11,USF07,3.535336374,2296412,4,0.8,nm,Original,Original,255,nm_C3,14.646858462832423
2024-09-11,USF12,159.4238,35878093,2.965,0.305,nm,Original,Original,255,nm_C3,17.395637444355547
2024-09-12,USF13,7.457131176,756190.5,2.91,0.14,nm,Original,Original,256,nm_C3,13.536048607545986
2024-09-12,USF14,26.20773165,2026488,2.46,0.2,nm,Original,Original,256,nm_C3,14.521814803493367
2024-09-12,USF15,4.446832383,848920.2,1.975,0.18,nm,Original,Original,256,nm_C3,13.65172046794301
2024-09-12,USF16,9.776280569,387371.4,2.15,0.23,nm,Original,Original,256,nm_C3,12.86713920172644
2024-09-12,USF17,1.316707755,219441.8,1.95,0.14,nm,Gap filled,Original,256,nm_C3,12.298842328275619
2024-09-12,USF18,2.122972757,114357,2.84,0.19,nm,Gap filled,Original,256,nm_C3,11.647080413143575
2024-09-12,USF19,2.296757166,118050.3,1.47,0.265,nm,Original,Original,256,nm_C3,11.678866083806492
2024-09-11,USF20,149.387975,19141915,2.69,0.395,nm,Original,Original,255,nm_C3,16.767390991230794
2024-09-12,USF21,33.64553722,2818745,2.685,0.2,nm,Original,Original,256,nm_C3,14.851802308395632
2024-09-11,USF22,0.893426035,685111.6,6.16,0.16,nm,Original,Original,255,nm_C3,13.437337023682417
2024-09-11,USF23,4.212706148,1428947,3.44,0.94,nm,Original,Original,255,nm_C3,14.172448367350857
2024-09-11,USF24,2.299042504,1484873,3.99,0.35,nm,Original,Original,255,nm_C3,14.21083980467621
2024-09-11,USF25,0.543696806,1144825,3.86,0.22,nm,Original,Original,255,nm_C3,13.950762344861547
2024-09-11,USF26,0.881923718,429695.9,3.73,0.17,nm,Original,Original,255,nm_C3,12.970833028176957
2024-09-12,USF28,0.552373345,56663.36,1.93,0.34,nm,Original,Original,256,nm_C3,10.944883072720513
2024-09-12,USF29,2.489929087,71086.77,3.69,0.13,nm,Gap filled,Original,256,nm_C3,11.171656522527687
2024-09-12,USF31,1.989298615,252856.1,2.89,0.23,nm,Gap filled,Original,256,nm_C3,12.440575831192408
